,index,pitcher,game_date,n_ab,n_ob,obp,pitching_coach
0,0,"('knehr', 'reiss')",2021-08-01,10,2,0.2,Rothschild
1,1,"('snell', 'blake')",2021-08-03,23,9,0.391304347826087,Rothschild
2,2,"('musgrove', 'joe')",2021-08-04,24,7,0.2916666666666667,Rothschild
3,3,"('arrieta', 'jake')",2021-08-05,19,9,0.47368421052631576,Rothschild
4,4,"('weathers', 'ryan')",2021-08-06,16,8,0.5,Rothschild
5,5,"('darvish', 'yu')",2021-08-07,25,4,0.16,Rothschild
6,6,"('snell', 'blake')",2021-08-08,26,5,0.19230769230769232,Rothschild
7,7,"('musgrove', 'joe')",2021-08-09,24,6,0.25,Rothschild
8,8,"('stammen', 'craig')",2021-08-10,11,6,0.5454545454545454,Rothschild
9,10,"('weathers', 'ryan')",2021-08-11,21,8,0.38095238095238093,Rothschild
10,11,"('darvish', 'yu')",2021-08-12,15,7,0.4666666666666667,Rothschild
11,12,"('snell', 'blake')",2021-08-13,22,8,0.36363636363636365,Rothschild
12,13,"('musgrove', 'joe')",2021-08-14,25,12,0.48,Rothschild
13,14,"('stammen', 'craig')",2021-08-15,8,2,0.25,Rothschild
14,15,"('weathers', 'ryan')",2021-08-16,18,8,0.4444444444444444,Rothschild
15,16,"('strahm', 'matt')",2021-08-17,8,4,0.5,Rothschild
16,17,"('arrieta', 'jake')",2021-08-18,17,9,0.5294117647058824,Rothschild
17,18,"('snell', 'blake')",2021-08-20,19,4,0.21052631578947367,Rothschild
18,19,"('musgrove', 'joe')",2021-08-21,24,6,0.25,Rothschild
19,20,"('stammen', 'craig')",2021-08-22,8,3,0.375,Rothschild
20,21,"('johnson', 'pierce')",2021-08-24,5,2,0.4,Fritz
21,22,"('snell', 'blake')",2021-08-25,26,3,0.11538461538461539,Fritz
22,23,"('darvish', 'yu')",2021-08-26,24,6,0.25,Fritz
23,24,"('musgrove', 'joe')",2021-08-27,32,5,0.15625,Fritz
24,25,"('weathers', 'ryan')",2021-08-28,12,4,0.3333333333333333,Fritz
25,26,"('paddack', 'chris')",2021-08-30,17,3,0.17647058823529413,Fritz
26,27,"('snell', 'blake')",2021-08-31,23,2,0.08695652173913043,Fritz
